Govt Sec School,2520047,Bengali  Teressa Island Via Aberdeen Bazar Port Blair A & N Islands,744104,3193,263225,2245644,2447532,monna.india@gmail.com,-,1963,Sucifaith,Senior Secondary,Govt Of Andaman & Nicobar Islands,-,Port Blair
Govt Sec School,2520078,Mildera Ii Katchal Port Blair A & N Islands,-,-,-,-,-,-,-,-,K Vallu,Secondary School,-,-,Port Blair
Govt Sec School,2520081,Jirkatang 2 South Anadaman Port Blair,744206,3192,281574,-,-,ramnarayan.andaman@gmail.com,-,1961,Ram Narayan Tiwari,Secondary School,-,-,South Andaman
Govt Sec School,2520068,Distt Junglighat Pt Blair South Andamans,744103,3192,232255,33447,-,headmaster.gssjg62@gmail.com,-,1982,Silpi Rao,Secondary School,Dept. Of Education - Andaman,-,South Andaman
Govt Sec School,2520080,Mohanpur V Mayabunder North Andeman,744206,-,-,-,-,-,-,1961,Subinoy Dey,Secondary School,-,-,North Andaman
Govt Sec School,2520069,Namunaghar South Andaman A&n Island,744206,319,223630,38192,-,rnr@andaman.tn.nic.in,-,1961,Lidia Bage,Secondary School,N.v.s,-,South Andaman
Govt Sec School,2520076,Delanipur Haddo Po Pt Blair A & N Islands,744102,319,241199,86139,-,gssdelanipur1960@gmail.com,-,1952,Chaya Rani Samanta,Secondary School,Dept. Of Education - Andaman,-,Port Blair
Govt Sec School,2520077,Shoal Bay-12 South Andeman A & N Islands,744206,3192,281842,86139,-,gssshoalbay12@gmail.com,-,1961,Manimala Halder,Secondary School,N.v.s,-,South Andaman
Govt Sec School,2520079,Uttara Kadamtala Middle Andeman,744209,3192,50041,86139,-,rnr@andaman.tn.nic.in,-,1961,Smt Asha Kumari,Secondary School,Navodaya Vidyalaya Samiti,-,Middle Andaman
Govt Sec School,2520084,"Parangara Kishori Nagar Panchayat, Dy Edu Office, North Andaman",744206,3192,279034,272212,-,gsssubashgram2@yahoo.co.in,-,1961,Sri G Vijayan,Secondary School,N.v.s,-,Andaman
Govt Sec School (Tamil & English),2520007,Haddo Post Pt Blair A & N Islands,744102,3192,32286,35039,-,hmgss_htem10@rediffmail.com,-,1963,Jawahar Lal Maurya(h.m),Secondary School,Andaman And Nicobar Admn Ptblair,-,Port Blair
Govt Secondary  School,2520062,Kaushalya Nagar  Rangat Middle Andaman,744205,3192,215946,33340,-,hemender2007@rediffmail.com,-,1961,H K Arya,Secondary School,D.p.i Andaman,-,Middle Andaman
Govt Sec School,2520083,Subhashgram Diglipur North Andaman A & N Islands,744206,3192,271030,9332956199,-,gssssubashgram2012@gmail.com,-,1961,Safia Bibi,Senior Secondary,N.v.s,-,Andaman
Govt Secondary School,2520071,Westbay Katchal Katchal Islands Andaman & Nicobar Islands,744304,-,-,-,-,rnr@andaman.tn.nic.in,-,1949,Sh Ali,Secondary School,D.p.i.,-,Nicobar
Govt Secondary School,2520051,Kakana Car Nicobar A & N Islands,744301,-,-,-,-,rnr@andaman.tn.nic.in,-,1963,Bendinus,Secondary School,Govt School,-,Car Nicobar
Govt Secondary School,2520038,Manglutan P.o:- Humphrey Gunj South Andaman A & N Islands,744101,3192,287311,234521,2358390,gsssmanglutan@yahoo.com,-,1952,R Dev Das,Senior Secondary,Dept. Of Education - A&n Islands,-,South Andaman
Govt Secondary School,2520082,Durgapur Diglipur Nth Andaman Andaman & Nicobar Island,744206,319,2272212,86139,-,gss_durgapur@rediffmail.com,-,1961,Vibha Sethi,Secondary School,N.v.s,-,South Andaman
Govt Secondary School,2520049,Harmander Bay Little Andaman A & N Islands,744207,3192,282618,84489,-,rnr@andaman.tn.nic.in,-,1968,R P Baghel,Secondary School,Direct Education Deptt A N Island,-,Little Andaman
Govt Secondary School,2520053,Gandhi Nagar Campbell Bay Great Nicobar A & N Islands,744302,3193,264240,84489,-,SOBHAROY1964@MAIL.COM,-,1980,Sobha Roy,Secondary School,A&n Administration,-,Great Nicobar
Govt Secondary School,2520052,Ram Nagar Post Digilipur Via  Nth Andaman A & N Islands,744202,319,217755,84489,-,gssrndp@gmail.com,-,1960,Usha Kumar Paladugu,Secondary School,Government Body,-,North Andaman
Govt Secondary School,2520055,Nimbutala (vill & Po) Middle Andaman A & N Islands,744205,3192,215184,84489,-,salimvp65@gmail.com,-,1962,Abdul Salim,Secondary School,Direct Of Education An Island,-,Middle Andaman
Govt Secondary School,2520056,Shivapuram Village Betapur Post Middle Andaman A & N Islands,744201,3192,270092,84489,-,tnatarajan65@gmail.com,-,1976,Natarajan,Secondary School,Govt Education Department A&n Islan,-,Middle Andaman
Govt Secondary School,2520057,Vivekanandapur Via Hutbay Little Andaman A & N Islands,744207,3192,282618,84489,-,rnr@andaman.tn.nic.in,-,1975,Ashutosh Mahanta,Secondary School,Govt,-,Little Andaman
Govt Secondary School,2520045,Village Manpur  P.o.tushnabad South Andaman A & N Islands,744103,3192,282618,3192282618,-,rnr@andaman.tn.nic.in,-,1950,Mr P K Chattopadhyaya,Secondary School,Andaman And Nicobar Administration,-,South Andaman
Govt Secondary School,2520042,Dairy Farm  P.o Junglighat Pt Blair A & N Islands,744103,3192,231059,35023,2358390,anujollyraju@gmail.com,-,1986,Anu Raju,Secondary School,Dept. Of Education - A&n Islands,-,Port Blair
Govt Secondary School,2520050,Adazig (po) Alkatcha Baratang Island South Andaman A & N Islands,744210,8301,43326,43640,226651,rnr@andaman.tn.nic.in,-,1976,Mr A Ummar,Secondary School,Dept. Of Education - A&n Islands,-,South Andaman
Govt Secondary School,2520072,Karmatang No 10 Mayabunder P.o A & N Islands,744204,3192,73356,73755,-,swapnayaan@gmail.com,-,1928,Swapna Das,Secondary School,Dept Of Education - A&n Islands,-,North Andaman
Govt Secondary School,2520041,Mus Car-nicobar A & N Islands,744301,3193,67223,67711,2358390,rnr@andaman.tn.nic.in,-,1947,Sh C Apolus,Secondary School,Dept. Of Education - A&n Islands,-,Car Nicobar
Govt Secondary School,2520048,Chainpur P.o Pudumadurai Mayabunder Via Middle Andaman A & N Islands,744204,3192,9474282282,22207271,-,mohammed.rafiqu@gmail.com,-,1963,Mohammed Rafiqu,Secondary School,Government,-,Middle Andaman
Govt Secondary School,2520027,Govindapur P O Nimbudera Via-betapur Middle  Andaman A & N Islands,744201,3192,276067,51177,-,sudhansuroy62@gmail.com,-,1980,Sudhansu Kumar Roy,Secondary School,Government,-,Middle Andaman
Govt Secondary School,2520086,Arong Andaman & Nicobar Island,744202,3193,265037,9434270820,-,aronggss@gmail.com,-,1961,C. A. Polus,Secondary School,N.v.s,-,Andaman
Govt Secondary School,2520065,Webi  Mayabunder P.o North Andaman A & N Islands,744204,3192,276662,-,-,rnr@andaman.tn.nic.in,-,1928,Mr. Shri Jitendra Gupta,Secondary School,Director Of Education,-,Andaman
Govt Secondary School,2520054,Miletilak Via Wimberlygunj South Andaman A & N Islands,744206,3192,281576,9474205011,-,rnr@andaman.tn.nic.in,-,-,Mr. Mrn.k.tyagi,Secondary School,Director Education Andaman Nicobar,-,Andaman
Govt Seni Secondary School,2520043,Laxmanpur  Neil Kendra P.o. Neil Island South Andaman A & N Islands,744104,3192,282618,3192282618,-,gsss_neil@yahoo.co.in,-,1967,Mr. D. Subbu Lakshmi,Senior Secondary,Dept. Of Education - Andaman,-,Andaman
Govt Senior Secondary School,2520037,Malacca Car-nicobar A & N Islands,744301,3193,5275,5308,-,rnr@andaman.tn.nic.in,-,1959,Mrs Christine Samuel Rufus,Senior Secondary,D P I Arunachal Pradesh,-,Car Nicobar
Govt Senior Secondary School,2520035,Mannarghat   Wimberlygunj P.o South  Andaman A & N Islands,744206,3192,255937,30880,-,girijarani1709@gmail.com,-,1949,Girija Rani Kr,Senior Secondary,Dept Of Education - A&n Islands,-,South Andaman
Govt Senior Secondary School,2520018,Oralkatcha Baratang Island Middle Andaman A & N Islands,744210,3192,77064,77112,-,rnr@andaman.tn.nic.in,-,1967,Amjad Hussain,Senior Secondary,Andaman And Nicobar Administration,-,Middle Andaman
Govt Senior Secondary School,2520033,Ranga Chang   Bimliton P.o Via Junglighat South Andaman A & N Islands,744103,3192,281002,50569,-,indiradevi5260@gmail.com,-,1967,Indira Devi,Senior Secondary,Dept. Of Education - A&n Islands,-,South Andaman
Govt Senior Secondary School,2520028,Hut_bay P.o Little  Andaman A & N Islands,744207,3192,84351,84351,-,rnr@andaman.tn.nic.in,-,1968,M P Singh,Senior Secondary,Andaman Nicobar Administration,-,Little Andaman
Govt Sr  Sec School,2520017,Kalighat P.o Nth Andaman A & N Islands,744204,3192,278023,3192282618,-,gssskg@gmail.com,-,1950,Usha Kumar Paladugu,Senior Secondary,Governmetn,-,North Andaman
Govt Sr  Sec School,2520008,Mayabunder North Andaman A & N Islands,744204,3192,273216,35039,-,sulochana065@gmail.com,-,1948,Sulochana,Senior Secondary,Director Of Education Portblair,-,North Andaman
Govt Sr  Sec School,2520013,Rangat Middle Andaman Middle  Andaman,744205,3192,274242,74076,-,ritabanerjee.portblair@gmail.com,-,1995,Rita Banerjee,Senior Secondary,Directate Of Education Pt Blair,-,Middle Andaman
Govt Sr Sec School,2520021,Lapathy Car-nicobar A & N Islands,744301,-,-,67206,-,rnr@andaman.tn.nic.in,-,-,Sh H Nathaniel,Senior Secondary,-,-,Car Nicobar
Govt Sr Sec School,2520019,Sawai Car-nicobar A & N Islands,744301,-,-,-,-,rnr@andaman.tn.nic.in,-,1960,S R Singh,Senior Secondary,Govt.,-,Car Nicobar
Govt Sr Sec School,2520029,Kapanga  Katchal Islands Nicobar District A & N Islands,744304,-,-,-,-,rnr@andaman.tn.nic.in,-,1985,Mr M P Singh,Senior Secondary,Andaman Administration,-,Nicobar
Govt Sr Sec School,2520036,Champin Nancowrie P.o. A & N Islands,744303,-,33204,33204,-,rnr@andaman.tn.nic.in,-,1954,Sh Nathaniel,Senior Secondary,Dept Of Education -a&n Islands,-,Nicobar
Govt Sr Sec School,2520023,School Line   Junglighat P.o Pt Blair South Andaman A & N Islands,744103,3192,232836,36600,-,vtreddy1962@gmail.com,-,1983,Vt Reddy,Senior Secondary,Dept. Of Education - A&n Islands,-,South Andaman
Govt Sr Sec School,2520040,Vijay Nagar   Campbell Bay Great Nicobar A & N Islands,744302,3193,9434298502,64240,2358390,ritatewari720@gmail.com,-,1974,Rita Tewari,Senior Secondary,Dept. Of Education - A&n Islands,-,Great Nicobar
Govt Sr Sec School,2520039,Garacharama South Andaman A & N Islands,744101,3192,250337,54080,2358390,garacharmagsss2013@gmail.com,-,1954,Anand Kumari,Senior Secondary,Andaman & Nicobar Administration,-,South Andaman
Govt Sr Sec School,2520059,Mohanpura Port Blair A & N Islands,744101,3192,233847,31964,-,gsssmohanpura@gmail.com,-,1992,Rita Rani Biswas,Senior Secondary,-,-,Port Blair
Govt Sr Sec School,2520022,Campbell Bay Great Nicobar A & N Islands,744302,3193,"264240, 64304",64304,-,latasingh58@gmail.com,-,1962,Lata Singh,Senior Secondary,Dept. Of Education- A&n Islands,-,Great Nicobar
Govt Sr Sec School,2520015,Kadamtala Village & P O Middle  Andaman A & N Islands,744209,3192,267064,77112,-,sunitachakraborthyvp14@gmail.com,-,1976,Sunita Chakraborty,Senior Secondary,Director Of Education Port Blair,-,Middle Andaman
Govt Sr Sec School,2520016,Bakultala P O Bakultala Middle  Andaman A & N Islands,744208,3192,277536,77589,-,harishchandrarai1961@gmail.com,-,1962,Harish Chandra Rai,Senior Secondary,Government,-,Middle Andaman
Govt Sr Sec School,2520026,Long Island Post Middle Andaman A & N Islands,744203,3192,78516,-,-,rnr@andaman.tn.nic.in,-,1973,T N Singh,Senior Secondary,A & N Administration,-,Middle Andaman
Govt Sr Sec School,2520011,Havelock P O Havelock-3 South Andaman A & N Islands,744211,319,2282382,3192271649,-,mandal.prabhash1961@gmail.com,-,1966,P C Mondal,Senior Secondary,Government Of India,-,South Andaman
Govt Sr Sec School,2520020,Ramkrishnapur  Post Via Hutbay Little Andaman A & N Islands,744207,3192,88039,88112,-,rnr@andaman.tn.nic.in,-,1974,G C Chakrabty,Senior Secondary,Dept. Of Education- A&n Islands,-,Little Andaman
Govt Sr Sec School,2520024,Pt Mout  P.o Chouldari South Andaman A & N Islands,744103,3192,289443,51177,-,archanasinghgssspm@gmail.com,-,1973,Archana Singh,Senior Secondary,Dept. Of Education - A&n Islands,-,South Andaman
Govt Sr Sec School (Hindi Medium),2520005,Haddo Post Pt Blair A & N Islands,744102,3192,34838,37475,-,rnr@andaman.tn.nic.in,-,1957,Mr S R Singh,Senior Secondary,Education Dept. - A & M Islands,-,Port Blair
Govt Sr Sec School (Telugu Medium),2520006,Haddo Post Pt Blair A & N Islands,744102,3192,232671,9434280839,-,bujji_hado@yahoo.co.in,-,1963,Mr. Mananjan Ghosh,Senior Secondary,Andaman And Nicobar Admn Ptblair,-,Andaman
Govt Sr Secondary School,2520012,Diglipur Nth   Andaman A & N Islands,744202,3192,272224,72416,-,rnr@andaman.tn.nic.in,-,1958,S Gurumoorthy,Senior Secondary,Directate Of Education Pt Blair,-,North Andaman
Govt Sr Secondary School,2520058,Tusnabad Port Blair  South Andaman A & N Islands,744103,3192,73216,33340,-,gsss_tb.and@nic.in,-,-,P Abdul Rehman,Senior Secondary,U T Administration,-,South Andaman
Govt Sr Secondary School,2520014,Swadesh Nagar P.o. Middle  Andaman A & N Islands,744201,319,270781,74076,-,gsssswadeshnagar@rediffmail.com,-,1974,Suresh Chandra Mazumder,Senior Secondary,Governmetn,-,Middle Andaman
Govt Sr. Sec School,2520009,Wimberlygunj P.o South  Andaman A & N Islands,744206,3192,255254,55610,-,gssswimberlygunj@gmail.com,-,1957,Rita Tiwari,Senior Secondary,Andaman And Nicober Adminstration,-,South Andaman
Govt Sr Secondary School,2520030,Pahalgaon P O Togapur Via Mayabunder Middle  Andaman A & N Islands,744204,3192,276671,276671,-,chakraborty17aparna@gmail.com,-,1964,Aparna Chakraborty,Senior Secondary,Govt Institutin,-,Andaman
Govt Sr. Secondary School,2520025,Bambooflat P.o South Andaman A & N Islands,744107,3192,255752,33273,-,gsss_bf@yahoo.com,-,1983,Renu Kala,Senior Secondary,Dept. Of Education - A&n Islands,-,South Andaman
Govt Sr.Secondary School,2520044,Bathubasti Post  Garacharama Post Via Port Blair South Andaman A & N Islands,744101,319,3192252199,30322,-,varghesechacko@gmail.com,-,1972,Varghese Chacko,Senior Secondary,Directorate Of Education A N Admn,-,South Andaman
Govt. Demonstration Multi Purpose,2520064,School Middle Point Pt Blair A & N Islands,744101,3192,34730,32235,-,rnr@andaman.tn.nic.in,-,1989,N R Khan,Secondary School,Direct Of Education,-,South Andaman
Govt. Model Sec. School,2520088,"Kamorta, Nancowry, Distt. Nicobar, A & N Island",744303,-,3192272071,9679584608,-,KSANKARAN123@GMAIL.COM,-,-,K. Sankaran,Secondary School,-,-,Andaman
Govt. Model Sr. Sec. School,2520085,"Sita Nagar, Diglipur, Nth & Middle Andaman",744202,319,2271044,9332956199,-,sitanagarprincipal@yahoo.com,-,1961,Ashok Kumar Tiwari,Senior Secondary,N.v.s,-,North Andaman
Govt. Secondary School,2520063,Pilpillow Nancowrie A & N Islands,744303,-,-,-,-,rnr@andaman.tn.nic.in,-,1953,Amjad Hussain,Secondary School,D P I,-,Nancowry
Govt. Secondary School,2520089,"Kuitasukh, Chowra, Island, Nancowry, A & N Island",-,3193,263225,9434288211,-,gsskuitasuk@gmail.com,-,-,Sh. K Sankaran,Secondary School,-,-,Nancowry
Govt. Secondary School,2520066,South Point Shadipur Post Ptblair A & N Islands,744106,3192,229361,37281,-,shyamalmazumdar102@gmail.com,-,1961,Shyamal Mazumdar,Secondary School,Direct Of Education,-,South Andaman
Govt. Secondary School,2520061,Keralapuram Diglipur Aerial Bay Po Nth Andaman A & N Islands,744202,3192,73216,33340,-,bvrreddy91@gmail.com,-,1975,B V R Reddy,Secondary School,U T Administration,-,North Andaman
Govt. Secondary School,2520067,P.o. Calicut Pt Blair South Andamans,744103,3192,260041,-,-,gsscalicut41@gmail.com,-,1952,Bhagirath Roy,Secondary School,Dept. Of Education - Andaman,-,Andaman
Govt. Secondary School,2520010,Laxmipur Nth Andaman A & N Islands,744202,3192,271390,3192271649,-,hanifam63@gmail.com,-,1956,Mohd Haneefa,Secondary School,Navodaya Vidyalaya Samiti,-,Andaman
Govt Sr Secondary School,2520070,Sabri Jn. Middle Middle Andaman,744205,3192,274205,74280,279092,principal.sab@gmail.com,http://www.jnvand.in,1989,Lochan Singh,Senior Secondary,D.p.i.,-,Middle Andaman
Govt. Secondary School,2520060,Paschim Sagar  Diglipur North Andaman A & N Islands,744202,3192,272148,272148,-,rnr@andaman.tn.nic.in,-,1975,Mr. Deepak Kumar Paul,Secondary School,Station Commander,-,Andaman
Iqra Public School,2530018,Wimberly Gunj South Andaman Ferrar Gunj South Andaman,744206,3192,255375,-,-,ashapb1984@gmail.com,-,2000,Mohan Kumar Das,Secondary School,Andaman Sunni Muslim Jamaeth,-,Andaman
Jawahar Navodaya Vidyalaya,2540001,Arong Car Nicobar Po Nicobar Distt A & N Islands 744301 A & N Islands,744301,3193,3192292804,-,-,sachinkharat81@rediffmail.com,-,1987,Sachin D Kharat,Secondary School,Navodaya Vidyalaya Samiti,-,Nicobar
Invent Public School,2530021,"Invent Public School, Sippighat Village, Port Blair, South Andaman",744105,-,3192260261,-,-,inventschool2012second@gmail.com,-,2012,Mrs. Ursula Minj,Secondary School,Invent Educational And Cultural Kendra,-,Port Blair
Jawahar Navodaya Vidyalaya,2540002,Panchawati  Rangat P.o Distt North & Middle Andaman A & N Islands,744205,3192,279092,3192279092,279092,canaikker@gmail.com,http://www.jnvand.in,1987,P Ramachandran,Senior Secondary,Navodaya Vidyalaya Samiti,-,Andaman
"Jawahar Navodaya Vidyalaya Chouldari, South Andaman",2540003,"Jawahar Navodaya Vidyalaya, Village Chouldari, Portmout, South Andaman District, Andaman & Nicobar Islands.pin: 744103",744103,-,3192289088,-,-,jnvportmout@gmail.com,navodaya.gov.in/nvs/nvs-school/SOUTH-ANDAMAN,2017,Mrs. Sreelatha N P,Secondary School,Navodaya Vidyalaya Samiti,-,South Andaman
Kamaraj Eng Med School,2530006,Aberdeen Bazar P B No 157 Port Blair A & N Islands,-,3192,261526,261526,-,beenasantosh2001@gmail.com,-,2000,V S Beena,Senior Secondary,Infant Jesus Educational Trust,-,Andaman
Kendriya Vidyalaya No.2,2500002,Raksha Vihar Minnie Bay Port Blair A & N Islands,744103,3192,225093,34918,232411,thekumarvijay@rediffmail.com,http://www.prkv1ptblair,1986,Vijay Kumar,Senior Secondary,Kendriya Vidyalaya Sangathan,-,Port Blair
Kendriya Vidyalaya No.I,2500001,Near Aberdeen Bazar Port Blair A & N Islands,744101,3192,232411,230802,232411,kvportblair1@gmail.com,http://www.prkv1portblair,1966,C Raji,Senior Secondary,Kendriya Vidyalaya Sangathan,-,Andaman
Khalsa Public School,2530016,"Gurudwara Dr.diwan Singh Complex, Port Blair. Andaman",744101,3192,242839,827879,-,sarab1971@rediffmail.com,-,1999,Sarabjeet Kaur Jagpal,Senior Secondary,Gurudwara Dr. Diwan Singh,-,Andaman
M E S School,2530004,Azad Nagar  Stewart Gunj Bambooflat South Andaman,744107,3192,255336,-,255270,mes_sg@yahoo.com,-,-,Mrs. J Shabnam,Senior Secondary,-,-,Andaman
"M.E.S. School, Salah Nagar, Ograbraj",2530019,Ograbraj,744103,3192,255270,-,3192255270,twahab.mes@gmail.com,-,2000,Punam Dung Dung,Secondary School,The Muslim Education Society Andamans,-,Andaman
Mahatma Gandhi International School,2530008,Brookshabad Post Box 474 Janglighat Port Blair-474,744107,319,262333,261446,-,mgispb@gmail.com,-,1996,Augustina Barla,Senior Secondary,Rajbai Anusuya Devi Gulechha,-,Andaman
Kendriya Vidyalaya,2500003,Afs  Carni Colear Car Nicobar 37 Wing 99 Apo,744301,-,-,-,-,-,-,1987,-,Senior Secondary,Kendriya Vidyalaya Sangathan,-,South Andaman
Navy Children School,2580001,Minnie Bay Pt Blair Po Junglighat Andaman & Nicobar Islands,744103,3192,200827,3192236175,225584,npspb@yahoo.co.in,-,1996,Mrs. Anita Devi,Senior Secondary,Navy Edn. Soceity,-,Port Blair
Nirmala Sr Sec School,2530002,Haddo Post Port Blair A & N Islands,744102,3192,232915,33491,225584,joyline10@gmail.com,-,1996,Caroline Mathew,Senior Secondary,I I Manorities Edu. Dev. Society,-,Andaman
R.G.T. Public Vidyalaya,2530022,R.g.t.  Road,744101,-,3192238652,-,-,royjoy85@gmail.com,-,1988,Mr.s V Uvraj,Secondary School,Radha Govind Temple Devasthanam,-,Port Blair
Sagritara School,2530020,"Prem Nagar, P.o. Haddo",744102,3192,232515,-,-,kujurpreety@gmail.com,http://www.sagritaraschoolportblair.org,1968,Preety Kujur,Secondary School,Association Of Catholic Andaman And Nicobar Islands,-,Port Blair
Saraswati Shishu Mandir,2530009,Pather Gudda Garacharma Port Blair Andaman Nicobar Island,110085,3192,250331,27072973,24865968,crpfps@del2.vsnl.net.in,-,1988,Suraj Prakash,Senior Secondary,Saraswati Shiksha Samiti,-,Port Blair
St. Marys School,2530010,St. Marys Schoolbathubastip.o Garacharmaport Blairsouth Andamanpin-744105,744105,319,03192-251834,-,03192-251834,stmaryssecschoolpb@rediffmail.com,http://stmaryschoolportblair.com,-,Mrs. Achamma Kuriakose,Senior Secondary,-,-,Andaman
"St. Xavier School,(English Medium Middle School)",2530017,"Mannarghat, Ferrargunj South Andaman",744206,3192,255510,-,-,milan.aruj@gmail.com,-,2007,Milan Thomas Aruj,Senior Secondary,"Society Of Pilar, Andamans",-,Port Blair
Vitala Public School,2530012,"Hope Town Bamboo Flat, South Andaman Ferrargung Portblar",744107,3192,2258294,-,-,vitalaschool@yahoo.com,-,-,Mrs. Jagadamma P K,Senior Secondary,-,-,Andaman
Vivekanand Kendra Zila Prishad Vidyalaya,2520092,Basnti Pur Nth And Middle Andaman Po Nimbudera Andaman And Nicobar 744201,492001,3192,276101,-,-,sssanju76@gmail.com,-,1980,Sanjay Singh,Secondary School,Delhi Administration,-,Andaman
Vivekananda Kendra Vidyalaya,2530011,"P.b.no.-501, Jungli Ghat Post,port Blair Andaman & Nicobar Island",744104,3192,274116,70876,-,shanmugarao444@gmail.com,http://portblair.vkv.in,1997,Ch Shanmuga Rao,Secondary School,Vivekananda Kendra,-,South Andaman
Vivekananda Kendra Nagarpalika Vidyalaya,2520096,"Ranchi Tekri, P.o. Junglighat, Pt Blair, Distt. South Andaman, Andaman & Nicobar Island Pin-744103",-,-,-,-,-,-,-,-,Principal,Secondary School,-,-,Andaman
Ummat Public School,2530007,Mohatma Gandhi Road Middle Point Aberdeen Bazar Port Blair (a&n Island),744101,3192,261686,3192235143,319223113,kamaraj_ups@rediffmail.com,-,1989,K Kamaraj,Senior Secondary,Islands Islamic Foundation,-,Andaman
Vivekananda Kendra Vidyalaya,2530003,Lamba Line  Post Box No.501 Junglighat P.o  Port Blair A & N Islands,744103,3192,"03192233426, 33191",-,3192233191,SVKVKV@GMAIL.COM,portblair.vkv.in,1977,Mr. S Vijayakumar,Senior Secondary,Vivekananda Kendra,-,North Andaman
Vivekananda Kendra Zilla Parishad Vidyalaya,2520091,"Pahalgaon, Po Tugapur, Maya Bunder, Village, Pahalgaon, Nth & Middle Andaman",744204,3192,276748,-,-,vkzpvpahalgaon@gmail.com,-,1981,Kamal Chandra Das,Secondary School,Chandigarh Administration,-,North And Middle Andaman
Vivekananda Kendra Zilla Parishad Vidyalaya,2520097,"Kadamtala,  Vill & Post- Kadamtala, Middle Andaman, Pin- 744 209, Andaman & Nicobar Island",-,-,-,-,-,-,-,-,-,Secondary School,-,-,North Andaman
"Vivekananda Kendra Zilla Parishad Vidyalaya, Diglipur",2520095,R.k. Gram,744202,3825,9436486938,296058,-,emrsrajnagar@gmail.com,-,1987,-,Senior Secondary,Navodaya Vidyalaya Samiti,-,Andaman
