Army Public School,1880001,Libing Post Tadong Gangtok Sikkim,324001,3592,270604,22895,-,nishajha3012@gmail.com,-,1999,Nisha Jha,Senior Secondary,Army Welfare Edu Soceity,-,East District
"Government Secondary School, Rongli",1820217,Rongli Bazareast Sikkim,737131,-,9593270361,-,-,govtjhsrongli1929@gmail.com,www.gssrongli.in,1929,Mrs. Shreya Pradhan,Secondary School,Education Department Government Of Sikkim,-,East District
Government Sr. Secondary School,1820163,"P.o. Bojoghri, East Sikkim",737101,3592,237076,9474531971,-,askbishta@gmail.com,-,1955,Asha Khatri,Senior Secondary,Dept.of Education -sikkim,-,East District
Government Sr. Secondary School,1820189,"Pachey, East Sikkim- 737106",737106,359,257531,9609877450,-,poonampradhan68@gmail.com,-,1985,Poonam Pradhan,Senior Secondary,Govt Of Sikkim,-,East District
Government Sr. Secondary School,1820097,Namcheybong  Pakyong East Sikkim-737 106,737116,-,9002959546,9474531971,-,asmi1011@gmail.com,-,1974,Hem Kalyani Gurung,Senior Secondary,Govt Of Sikkim,-,East District
Govt High School,1820029,Tashiding Via- Sinek West Sikkim,737111,359,5243295,9832315715,-,keshav.gtm@gmail.com,-,1952,Keshav Gautam,Senior Secondary,Govt,-,West District
Govt Girls Sr. Sec School,1820041,Namchi South Sikkim,737126,3595,"263824, EX 236",-,-,hannahyon2@gmail.aom,-,1948,Dr Hannah Yonzan,Senior Secondary,Govt. Of Sikkim,-,South District
Govt Sec School,1820080,Nandok Po- Ranipool East Sikkim,737103,91,9434241242,9474531971,-,hmnandok@gmail.com,-,1959,Tenzing Dorjee Phalontharpa,Secondary School,Govt Of Sikkim,-,East District
Govt Sec School,1820129,Tumin Po Tumin East Sikkim,737134,3592,8145891963,244294,-,kumar_punam@yahoo.com,khanisirbongwestsikkim.in,1984,Punam Kumar Jogi,Secondary School,Govt Of Sikkim,-,East District
Govt Rangchang Sec School,1820121,Ralong South Sikkim,737126,3595,9609872231,9.20E+11,-,stbhutia65@gmail.com,khanisirbongwestsikkim.in,1984,Sonam Tshering Bhutia,Secondary School,Govt Of Sikkim,-,South District
Govt Sec School,1820139,Pacheykhani Po Pacheykhani Distt East Sikkim Sikkim,737106,3592,231825,253889,-,drugaprasan.khatiwara@yahoo.in,khanisirbongwestsikkim.in,1985,Durga Prasad Khatiwara,Secondary School,Govt Of Sikkim,-,East District
Govt Sec School,1820135,Padamchey Po Pachak East Sikkim,737131,3592,257171,253326,-,loknathdhungel@gmail.com,khanisirbongwestsikkim.in,1984,Lok Nath Sharma,Secondary School,Govt Of Sikkim,-,East District
Govt Sec School,1820113,Martam East Sikkam,737126,3214,222660,202054,-,-,-,1984,Prem Kumar Rai,Secondary School,Govt Of Sikkim,-,East District
Govt Sec School,1820015,Singtam East Sikkim,737132,3592,233596,9434862200,-,kbcsgt@gmail.com,-,1978,K B Chettri,Senior Secondary,Dept.of Education -sikkim,-,East District
Govt Sec School,1820106,Sudunglakha East Sikkim,737135,3592,9832470232,9474531971,-,subashgiri21@gmail.com,-,1984,Subash Giri,Secondary School,Govt Of Sikkim,-,East District
Govt Sec School,1820114,Lingtam Via Rongli East Sikkim,737126,3214,0000,202054,-,shabnumgolay72@gmail.com,-,1984,Shabnum Golay,Secondary School,Govt Of Sikkim,-,East District
Govt Sec School,1820181,"Amba, East Sikkim, Sikkim",737135,-,9679260900,9609877450,-,tilak07007@gmail.com,-,1985,Tilak Adhikari,Secondary School,Govt Of Sikkim,-,East District
Govt Sec School,1820127,Sichey Po Gangtok East Sikkim,737101,3592,09434144180,-,-,dgsicheyss@gmail.com,siheyss.sikedu.org,1969,Mr. Sonam Sherpa,Senior Secondary,Government Of Sikkim,-,East District
Govt Sec School,1820188,"Ahopulkishan, Po Ranipool, East Sikkim",737135,359,15708,-,-,subbanarb@gmail.com,-,1985,Nar Bahadur Subba,Secondary School,Govt Of Sikkim,-,East District
Govt Sec School,1820045,Middle Camp East Sikkim,737134,3592,254464,-,-,middlacampers@gmail.com,-,1985,Sunita Upreti,Secondary School,Govt Of Sikkim,-,East District
Govt Sec School,1820063,Phadamchen Via- Rongli East Sikkim,737133,359,255701,-,-,suman80cht.sc@gmail.com,-,1951,Suman Chhetri,Secondary School,Govt. Of Sikkim,-,East District
Govt Sec School,1820046,Chungthang  Dt- Mangan North Sikkim,737116,-,-,-,-,jnbhattarai77@gmail.com,-,1985,Jagan Nath Bhattarai,Senior Secondary,Govt. Of Sikkim Edn. Department,-,North District
Govt Sec School,1820048,Tingboong North Sikkim,737116,359,9593889138,9434356226,-,sajanvvs@yahoo.com,-,1951,Sajan V Sebastian,Secondary School,Govt. Of Sikkim,-,North District
Govt Sec School,1820076,Po - Lingdong Via- Mangan North Sikkim,737102,91,7797894667,9474531971,-,jtaramoo@gmail.com,-,1960,Jorbu Tshering Lepcha,Secondary School,Dpi,-,North District
Govt Sec School,1820081,Singhik Via- Mangan North Sikkim,737116,-,-,9474531971,-,singhikschool2010@gmail.com,-,1958,Karma Tshering Bhutia,Secondary School,Govt Of Sikkim,-,North District
Govt. Secondary School,1820212,"Pelling- Chumpong, West Sikkim-737 113.",-,-,-,-,-,-,-,-,-,Secondary School,-,-,West District
Govt. Secondary School,1820224,"Naga, Nth Sikkim-737120",-,-,-,-,-,-,-,-,-,Secondary School,-,-,North District
Govt. Secondary School,1820213,"Mangsari, West Sikkim",-,-,-,-,-,-,-,-,-,Secondary School,-,-,West District
Govt. Secondary School,1820203,"Sawaligaon , P.o.pipaley, Via-nayabazar, West Sikkim - 737 121",-,-,-,-,-,-,-,-,-,Secondary School,-,-,West District
Govt. Secondary School,1820201,"Samalingdum, P.o. Dhajay, Ranka, East Sikkim",-,-,-,-,-,-,-,-,-,Secondary School,-,-,East District
Govt. Secondary School,1820168,"Pabong Daring, P.o. Namphing (bermoik), South Sikkim,  Sikkim-737134",737131,-,09862013085,9733087699,-,khanalrudra66@gmail.com,-,1970,Rudra Prasad Sharma,Secondary School,Navodaya Vidyalaya Samiti,-,South District
Govt. Secondary School,1820178,"Phong, Po Ramthang, Via Rangpo, South Sikkim",737132,91,9434117335,-,-,mkraikhaling@gmail.com,-,-,Mani Kumar Rai,Secondary School,-,-,South District
Govt. Secondary School,1820169,"Namphing, P.o. Namphing ,south Sikkim, Sikkim-737134",-,-,-,-,-,dahaltikaram@gmail.com,-,-,Tika Ram Dahal,Secondary School,-,-,South District
Govt. Secondary School,1820176,"Po Katang, South Sikkim, Sikkim",737138,3595,000000,9609870288,-,lppradhankpg@gmail.com,-,1985,L  P  Pradhan,Secondary School,Govt Of Sikkim,-,South District
Govt. Secondary School,1820175,"Langang, Po Lalganj, Geyzeng, West Sikkim",737111,3595,250187,9733087699,-,rajthapa1970@gmail.com,-,1970,Rajesh Kumar Thapa,Secondary School,Navodaya Vidyalaya Samiti,-,West District
Govt. Secondary School,1820177,"Rimbik, West Sikkim, Po Nambu, West Sikkim",737113,3595,250021,-,-,headmasterrimbikss@gmail.com,-,1985,Krishna Limboo,Secondary School,Govt Of Sikkim,-,West District
Govt. Sr Sec School,1820011,Samdong East Sikkim,737101,3595,250807,9434862200,-,pradhanradha@yahoomail.com,-,1942,Radha Pradhan,Senior Secondary,Govt.,-,East District
Govt. Sir T N Sr. Sec. School,1820001,Gangtok East Sikkim,737101,3592,202942,2942,-,sirtnsss@gmail.com,-,1906,Basu Dev Adhikari,Senior Secondary,State Govt. Edun Deptt,-,East District
Govt. Sr Sec School,1820012,Song Via- Singtam East Sikkim,737133,359,22339,9434862200,-,sangschool1880@gmail.com,-,1948,Rapgay Bhutia,Senior Secondary,Directorate Of Education,-,East District
Govt. Sr Sec School,1820013,Temi Via- Singtam South Sikkim,737134,3592,261563,9434862200,-,dyonzon@gmail.com,-,1969,Dushyant Tamang,Senior Secondary,Govt. Of Sikkim,-,South District
Govt. Sr Sec School,1820065,Bermiok Tokal South Sikkim,737134,91,9474355180,9434356226,-,parsuramrizal@gmail.com,-,1935,P R Sharma,Senior Secondary,State Government Education Departme,-,South District
Govt. Sr Sec School,1820034,Yangang Via- Singtam South Sikkim,737134,359,243366,9932047757,-,adchhetri69@gmail.com,-,1955,Amber Dass Chhetri,Senior Secondary,Government Department Of Education,-,South District
Govt. Sr Sec School,1820032,Dentam West Sikkim,737112,3595,9733066372,9932047757,-,erapx79@gmail.com,-,1925,Pradeep Gurung,Senior Secondary,Government Department Of Education,-,West District
Govt. Sr Sec School,1820043,Mangalbaria Takuthang Via- Naya Bazar West Sikkim,737121,3595,252219,-,-,sanjoy_acharyya@rediffmail.com,-,1940,Sanjoy  Acharyya,Senior Secondary,Dept.of Education -sikkim,-,West District
Govt. Sr. Sec. School,1820050,Nandugaon South Sikkim,737136,359,257610,9434356226,-,kamla.rai07@gmail.com,-,1952,Kamla Devi Rai,Senior Secondary,Education Deptt. Govt Of Sikkim,-,South District
Govt. Sr. Sec. School,1820120,"Kalzang, Gyatso North Sikkim",737126,91,7872893074,9.20E+11,-,indira.poudyal@ymail.com,khanisirbongwestsikkim.in,1984,Indira Poudyal,Senior Secondary,Govt Of Sikkim,-,North District
Govt. Sr. Sec. School,1820052,Lingmo Kolthang South Sikkim,737134,359,0000000,9434356226,-,kldahal68@gmail.com,-,1936,Khem Lall Dahal,Senior Secondary,Education Deptt. Govt Of Sikkim,-,South District
Govt. Sr. Sec. School,1820107,Rateypani South Sikkim,737135,359,9474772912,202054,-,pokhrelaj1@gmail.com,-,1984,Ajay Pokhrel,Senior Secondary,State Government Education Departme,-,South District
Govt. Sr. Sec. School,1820075,Perbing South Sikkim,737102,-,9733015258,-,-,perbingsss.south@gmail.com,-,1959,Gopa Roy Chowdhury,Senior Secondary,Dpi,-,South District
Govt. Sr. Sec. School,1820072,Shreebudam West Sikkim,737102,359,9593773944,202054,-,gurungk958@gmail.com,-,1935,Kalpana Gurung,Senior Secondary,State Government Education Departme,-,West District
Govt. Sr. Sec. School,1820156,"Legship, West Sikkim,",711303,91,9002852065,202054,-,pksharma5329@gmail.com,-,1992,Puspa Kumar  Sharma,Senior Secondary,Navodaya Vidyalaya Samiti,-,West District
Govt. Sr. Sec. School,1820102,Darap West Sikkim,737135,-,9593974341,-,-,lpgurung32@yahoo.in,-,1984,Laxmi Prasad Gurung,Senior Secondary,Dpi,-,West District
Govt. Sr. Sec. School,1820071,Tadong East Sikkim,737102,3592,231175,9434356226,-,domazimba@gmail.com,-,1935,Doma Lhamu Zimba,Senior Secondary,State Government Education Departme,-,East District
Govt. Sr. Sec. School,1820003,Enchey East Sikkim,737103,395,232684,-,-,LAMKILABHUTIA@GMAIL.COM,-,1906,Lamkilabhutia,Senior Secondary,State Govt. Edun Deptt,-,East District
Govt. Sr. Sec. School,1820105,Makha East Sikkim,737135,-,9647553936,9474531971,-,ddddhiren@gmail.com,-,1984,Dhirendra Kumar Pradhan,Senior Secondary,Govt Of Sikkim,-,East District
Govt.Sec.School Mulukey,1820222,"Lower Mulukey,rhenock Post Office,737133",737133,-,035922346547813,-,-,mulukeysec.school@gmail.com,www.mss.nic.in,1972,Mr. Shanti Ram Sharma,Secondary School,Education Department Govt.of.sikkim,-,East District
Govt. Sr. Sec. School,1820066,Kitam South Sikkim,737126,91,9593602268,-,-,sanjoy_acharyya@rediffmail.com,-,1935,Sanjoy Acharyya,Senior Secondary,State Government Education Departme,-,East District
Govt.Sonamati Memo Sr. Sec. School,1820040,"Khamdong, East Sikkim,",737134,91,9647875899,-,-,smgsss@rediffmail.com,-,1948,Choden Kazi,Senior Secondary,Dept.of Education -sikkim,-,East District
Govt.Sr. Sec. School,1820073,Mangshila North Sikkim,737116,-,7031001818,9474531971,-,Mangshila.school@gmail.com,-,1935,Ashok Kumar Bhagat,Senior Secondary,State Government Education Departme,-,North District
Green Dale School,1820136,Near Icar Complex Po Tadang Gangtok Sikkim,737102,3592,232157,231018,-,greendale@rediffmail.com,khanisirbongwestsikkim.in,1985,Noel Pereira,Senior Secondary,Prabhat Mem. Educational Society,-,East District
Himalayan Academy,1830009,Po Soreng West Sikkim,737121,3595,253311,2255371,-,chhetri.keshav01@gmail.com,-,1982,Keshav Prasad Chhetri,Secondary School,H.e.s,-,West District
Holy Cross School,1830002,Tadong Gangtok Sikkim,737102,3592,231179,3011,-,hctadong@gmail.com,-,1985,Sister Jessy Mathew,Senior Secondary,Westbengal Holy Cross Sisters Socy,-,East District
Jawahar Navodaya Vidyalaya,1840004,"P.o. Pakyong, East Sikkim",737106,3592,257431,-,-,tsjnv2008@gmail.com,-,1992,Tilak Singh,Senior Secondary,Navodaya Vidyalaya Samiti,-,East District
Jawahar Navodaya Vidyalaya,1840003,Po Ravangla South Sikkim Sikkim,737139,-,-,-,-,kvsureshjnvi@gmail.com,-,1988,K V Suresh,Senior Secondary,Navodaya Vidyalaya Samiti,-,South District
Jawahar Navodaya Vidyalaya,1840001,Rothak Naya Bazar West Sikkim,737121,3595,257273,-,-,jtendrajnv@gmail.com,-,1987,Jitendra Kumar,Senior Secondary,Nvs,-,West District
Jawahar Navodaya Vidyalaya,1840002,Po- Phodong North Sikkim,737119,3592,210225,-,-,jnvnorthsikkim1@gmail.com,-,1992,C V Shanthy,Senior Secondary,Navodaya Vidyalaya Samiti,-,North District
Kasturba Gandi Balika Vidyalaya,1820195,"Labing Gerethang, West Sikkim",-,3595,250021,8509531131,-,kasturba_gandhi12@yahoo.com,-,-,Sushma Mohra,Secondary School,-,-,West District
Kendriya Vidyalaya,1800001,Tadong Gangtok East Sikkim,737102,3592,232646,3592231255,-,DBMEENA4@GMAIL.COM,http://www.kvgangtok.org,1976,Dilbahadur Singh,Senior Secondary,Kendriya Vidyalaya Sangathan,-,East District
Khy De Khang Sec School,1820083,Kyi-de-khang Po- Gangtok Sikkim,737101,359,284532,28710,-,karmagyatso52@gmail.com,-,1981,Karma  Doma  Gyatso,Senior Secondary,Director Of Sikkim,-,East District
Little Angel School,1820137,Nandok Po Ranipool East Sikkim,737135,359,9647655992,-,-,ndnmishra123@gmail.com,-,1985,Narayan Datta Mishra,Senior Secondary,-,-,East District
Manjusri Public School,1830011,"Upper Tanak Block Temi Tarkum, South Sikkim",737134,359,2203093,-,-,wpulger@gmail.com,http://www.manjusrischool.com/,2009,Wendy Pulger,Senior Secondary,Rinzing Educational Advancement & Development Trust,-,East District
Modern Govt. Sec School,1820005,Gangtok Sikkim,737101,3592,202061,3592322118,-,maladorjee@live.com,-,1956,Mala Jigdal Dorjee,Senior Secondary,Dept.of Education -sikkim,-,East District
Mount Kanchan Academy,1830015,"Dentam, West Sikkim",737113,-,9735087227,-,-,sarojagurung7@gmail.com,-,2009,Mrs. Kabita Chettri,Senior Secondary,Ratna Maisory Memorial Education Trust,-,West District
Milling Govt. Secondary School,1820207,"Dentam, District. Gyalshing, West Sikkim",-,-,-,-,-,-,-,-,-,Secondary School,-,-,West District
Mountzionschool,1830013,"M.p. Golai, Tadong",737102,-,03592-271201,-,3592271200,kidzee.zion@yahoo.com,http://www.mountzionschool.in,2005,Misspreza Gurung,Senior Secondary,Zion Education Trust,-,East District
Kendriya Vidyalaya,1800002,Nhpc Singtam East Sikkim,737134,359,247411,276,-,kvnhpcsingtam@gmail.com,-,1986,Ram Nagina Ram,Senior Secondary,Kendriya Vidyalaya Sangathan,-,East District
Nabil's Memorial School,1830010,"Shanti Nagar, P.w.d Colony, Jorethang South Sikkim",737121,359,2257658,-,-,ranjana19@gmail.com,-,1994,Ranjana Pradhan,Secondary School,Jorethang Nabil Society,-,South District
New Light Academy,1820112,Govt Sec School Namchi Sikkim,737126,359,5263466,-,-,sir_lama@yahoo.co.in,-,1984,Lopsong Yolmo,Senior Secondary,-,-,South District
Nobel English School,1820141,Takuthang Mangal Baria West Sikkim,737138,359,9775478413,253326,-,bharatforchrist@yahoo.com,khanisirbongwestsikkim.in,1985,Lydia Lepcha,Secondary School,Govt Of Sikkim,-,West District
Ntl Govt Sr Sec School,1820054,Vok Via- Namchi South Sikkim,737126,-,9733358518,-,-,ntlvokgovtsecschool@gmail.com,www.ntlvokss.sikedu.org,1971,Mr. Roshan Rai,Senior Secondary,State Govt.,-,South District
North Sikkim Academy,1820111,Pentok Hill Mangan Sikkim,737116,3592,234294,202054,-,namgyalphuntso@yahoo.co.in,-,1984,Namgyal Phuntso Kazi,Senior Secondary,Prabhat Mem. Educational Society,-,North District
Padma Odzer Choeling,1830006,Grba Road Chogney Tar Gpo Raj Bhawan Gangtok Sikkim,395007,3592,229565,222152,2634967,lacchy1947@gmail.com,http://sdjainmodern.org,2001,Lacchy Pradhan,Secondary School,Human Development Foundation Of Sikkim,-,East District
Paljor Namgyal Girls Sr Sec School,1820002,Gangtok East Sikkim,737101,3592,202528,-,-,pngschool@yahoo.com,-,1924,Jem Pandi N Targain,Senior Secondary,Managing Committee,-,East District
Prashanti Vidya Mandir Government Secondary School,1820149,"Middle Sichey, Gangtok, East Sikkim",795150,3592,284518,3592322118,2323565,pvmssgtk@gmail.com,-,1987,Om Kumari Pradhan,Secondary School,Navodaya Vidyalaya Samiti,-,East District
Phul Moti Memorial Universal Smart,1820142,Academy Bandukey Uttarey West Sikkim,737138,91,9734085513,253326,-,phulmotimemousa@gmail.com,khanisirbongwestsikkim.in,1997,Sangreiwon Keishing,Secondary School,Mata Amritanandamayi Math Trust,-,West District
Govt Sec School,1820021,Phensang North Sikkim,737118,3595,0000,235,-,Wangchukbhutia04@gmail.com,-,1955,Wangchuk Bhutia,Secondary School,Deptt. Of Education,-,North District
Govt Sec School,1820008,Heegyathang  Dt- Mangan North Sikkim,737116,91,9832508950,9434862200,-,rudra.poudyal@gmail.com,-,1952,Sharad Poudyal,Senior Secondary,Govt. Of Sikkim Edn. Dept,-,North District
Govt Sec School,1820109,Aho Shanti Po East Sikkim,737135,359,257378,202054,-,reha_arohan@yahoo.com,-,1984,Anant Kumar Bhandari,Secondary School,Govt Of Sikkim,-,East District
Govt Sec School,180185,"Tareyphang, East Sikkim, Po Bering,",737106,-,09832075289,9800844900,-,neopaneydharni@gmail.com,-,-,Sh Dharni Prasad Neopaney,Secondary School,-,-,East District
Govt Sec School,1820049,Bikmat Rateypani Via- Melli South Sikkim,737128,359,9749601405,-,9749601405,govtbss05438@gmail.com,-,1964,Mrs. Mamta Subba,Senior Secondary,Smc,-,South District
Govt Sec School,1820053,Damthang South Sikkim,737126,-,000000,9434356226,-,bhimkumarchettri@gmail.com,-,1957,Bhim Kumar Chettri,Secondary School,Edn Department Govt Of Sikkim,-,South District
Govt Sec School,1820084,Melli Bazar Po Melli Bazar South Sikkim,737101,3592,248331,9474531971,-,daisybhutia@ymail.com,-,1957,Daisy Doma Bhutia,Secondary School,Govt Of Sikkim,-,South District
Govt Sec School,1820085,"Govt. Sec. School, Syaplay Sardaray, East Sikkim, P.o West Pendam, Via Singtam, East Sikkim, Sikkim-737134",737101,-,-,9474531971,-,lamsal.pkl@gmail.com,-,1978,Pradeep Kumar Lamsal,Secondary School,Govt Of Sikkim,-,South District
Govt Sec School,1820184,"Sangmoo, Southn Sikkim",737116,-,09775878448,9733098355,-,bijoypdsubba65@gmail.com,-,-,B P Subba,Secondary School,-,-,South District
Govt Sec School,1820019,Maniram  Via Namchi South Sikkim,737106,3595,9434448255,9434862200,-,lppradhankpg@gmail.com,-,1947,L P Pradhan,Secondary School,Dept.of Education -sikkim,-,South District
Govt Sec School,1820130,Tingmoo Po Tingmo Via Kewzing South Sikkim,737139,3595,9733083806,244294,-,tingmooschool@gmail.com,khanisirbongwestsikkim.in,1984,Goverdhan Rai,Secondary School,Govt Of Sikkim,-,South District
Govt Sec School,1820036,Namthang Via- Rangpo South Sikkim,737137,3595,241226,9932047757,-,cbsapkota@gmail.com,-,1957,Chandra Bahadur  Sapkota,Senior Secondary,Govt Of Sikkim,-,South District
Govt Sec School,1820193,"Tingchim, Nth Sikkim",737116,359,9647873612,-,-,tingchingschool@yahoo.com,-,-,Chungkipu Lepcha,Secondary School,-,-,North District
Govt Sec School,1820138,Nehbroom Po Nehbroom Via Makha South Sikkim,737138,3592,97333756060,253326,-,khanisirbong.ss@gmail.com,khanisirbongwestsikkim.in,1985,Mr. Laxuman Tamang,Secondary School,Govt Of Sikkim,-,South District
Govt Sec School,1820118,Sanganath South Sikkim,737126,91,9002126055,9.20E+11,-,sanganathschool@rediffmail.com,khanisirbongwestsikkim.in,1984,Uzeshwar Singh,Secondary School,Govt Of Sikkim,-,South District
